name	Category	Soft	Cool	fill1	fill2	fill3
enjoyable	casual	1.372964899	2.47249863	#F68B41	#F6ED83	#3FB876
bright	casual	1.038386856	2.656801366	#F4B260	#FAF7F4	#F25846
casual	casual	0.7037963654	2.181292322	#F15845	#F7F4F1	#0351A1
colorful	casual	0.2884490914	2.299138593	#F7E869	#F69345	#E84F82
chic	chic	0.1369180981	-1.244630434	#D8DACD	#86AD94	#566C5D
noble and elegant	chic	-0.2182972367	-0.9965678627	#A0A096	#D3D3D3	#95AFC7
stylish	chic	-0.5735125716	-0.8556815786	#294C9A	#A0A579	#D8DCCE
traditional	classic	-1.596041822	0.7707846692	#B7854C	#38241A	#6C8455
elaborate	classic	-1.965446851	0.5932917317	#443513	#9A9157	#182D48
heavy and deep	classic	-2.438486433	0.4205169288	#332D1B	#B2723B	#182222
neat	clear	2.629878018	-2.322768478	#D7E9CF	#F9F9F6	#DDEFEF
clean	clear	1.994339059	-2.399245267	#98D0DB	#F9F9F7	#B6C9DB
refreshing	clear	1.372267862	-2.322768478	#ABD59B	#FAF9F6	#5696AB
youthful	cool casual	1.010206622	-1.510140406	#F5ED85	#9FD19E	#5797B1
agile	cool casual	0.3997635051	-2.312029346	#20A56D	#F6F7F5	#00B2B4
speed	cool casual	0.03770226537	-2.097099127	#FCDB60	#F9F8F4	#0056AA
quiet and sophisticated	dandy	-1.04377645	-0.3797234052	#908747	#1B2114	#ACB3A8
dapper	dandy	-1.608837441	-0.7228022094	#5B6B52	#A4A582	#103434
dignified	dandy	-2.222628827	-1.103398406	#1B2117	#7F867B	#192E1A
lively	dynamic	-0.4614886731	2.656801366	#F18439	#0655A2	#F25A47
bold	dynamic	-1.127620115	2.73321318	#F8D75A	#F15144	#030200
active	dynamic	-1.542967389	2.30738795	#020101	#F05346	#0B52A3
wild	dynamic	-1.992930047	1.768118227	#F05747	#332920	#B0A23D
delicate	elegant	1.400448096	-0.6493485685	#F1E3D7	#E6D1CC	#9DAFC6
emotional	elegant	1.081914364	0.1256018889	#EBD8C3	#CFBFD0	#A6A296
graceful	elegant	0.6507219318	0.5974237888	#9E9C96	#DDA8A9	#D3D3D6
fashionable	elegant	0.5844909136	-0.5534679766	#CCCDC4	#E8D7D0	#A1B1A2
calm	elegant	0.3441125218	0.2218914703	#EED9C5	#C09E80	#CCCCC7
alluring	gorgeous	-0.4058252427	1.305932454	#E3A7A9	#C5605C	#212A7A
extravagant	gorgeous	-0.7461165049	1.808312181	#D15E41	#E2C14D	#2D2773
mellow	gorgeous	-0.8581404033	0.7666568284	#264D18	#E75A50	#2E4795
luxorious	gorgeous	-1.196079164	1.590629085	#522830	#05020D	#E6C555
sharp	modern	-0.9324495892	-2.286001602	#050503	#F6F5F3	#1EA66A
rational	modern	-1.273773961	-2.081802083	#8B988D	#F9F9F5	#10383E
masculine	modern	-1.664500871	-1.924218915	#BDCBD6	#3B7988	#05040A
metallic	modern	-2.250809061	-2.285103512	#050403	#91A89D	#132715
intimate	natural	1.995037341	0.7235147784	#ECBB7F	#F8F3C5	#F5F2BB
tranquil	natural	1.941962908	-0.4311000548	#F2E4B7	#F6F0D5	#C6DEB3
plain	natural	1.938676873	-1.244630434	#F9F7CF	#D9DFA3	#CFD0C8
wholesome	natural	1.625628579	0.1705063878	#F6EED5	#CDD97E	#B7AD89
fresh	natural	1.572554145	-1.484445756	#E6EA99	#B1D899	#E6EED9
mild	natural	1.038386856	1.025095923	#F3E7D5	#E2A887	#B7A285
modest	elegant	-0.2314413742	0.2052746975	#8C8541	#AF9877	#CBC6BE
sweet	pretty	2.451716455	1.56436944	#F8CB94	#FDF9F5	#F3BFA8
pretty	pretty	2.001756286	2.232682042	#FEED72	#F8F4D2	#EB717B
childlike	pretty	1.678703012	1.693413164	#F48C72	#F5F2CD	#ADD5A1
soft	romantic	2.736026886	0.2218914703	#F2E8D7	#F7F6F3	#F3F4C6
dreamy	romantic	2.599108788	-0.8828393136	#F1E7D5	#FAF9F6	#E4E7EB
charming	romantic	2.367872791	-0.01380444407	#F4E8DD	#ECCBC7	#DEECEC
